hf_lemma,hf_ipa,qur_lemma,qur_ipa,score
أتي,ʔaːtj,أَتَى,ʔaːataaː,0.575
أث,ʔaːθ,أ,ʔaː,0.725
أث,ʔaːθ,أَم,ʔaːam,0.62
أث,ʔaːθ,أَو,ʔaːaw,0.62
أثي,ʔaːθj,أ,ʔaː,0.57
أثي,ʔaːθj,أَم,ʔaːam,0.57
أثي,ʔaːθj,أَلِيم,ʔaːalijm,0.53
أثي,ʔaːθj,أَو,ʔaːaw,0.57
أثي,ʔaːθj,أَيّ,ʔaːajj,0.692
أجد,ʔaːd͡ʒd,أَخْرَجَ,ʔaːaxrad͡ʒa,0.532
أجد,ʔaːd͡ʒd,أَنداد,ʔaːandaːd,0.589
أجم,ʔaːd͡ʒm,أَم,ʔaːam,0.58
أجم,ʔaːd͡ʒm,أَلِيم,ʔaːalijm,0.53
أجم,ʔaːd͡ʒm,أَبْكَم,ʔaːabkam,0.53
أجم,ʔaːd͡ʒm,أَخْرَجَ,ʔaːaxrad͡ʒa,0.532
أجم,ʔaːd͡ʒm,أَنتُمْ,ʔaːantum,0.53
أخخ,ʔaːxx,آخِر,ʔaːxir,0.692
أخخ,ʔaːxx,أ,ʔaː,0.57
أخخ,ʔaːxx,أَم,ʔaːam,0.57
أخخ,ʔaːxx,أَو,ʔaːaw,0.57
أخو,ʔaːxw,آخِر,ʔaːxir,0.692
أخو,ʔaːxw,أ,ʔaː,0.57
أخو,ʔaːxw,أَم,ʔaːam,0.57
أخو,ʔaːxw,أَو,ʔaːaw,0.785
أدو,ʔaːdw,أ,ʔaː,0.57
أدو,ʔaːdw,أَم,ʔaːam,0.57
أدو,ʔaːdw,زادَ,zaːda,0.57
أدو,ʔaːdw,أَرْض,ʔaːardˤ,0.58
أدو,ʔaːdw,أَو,ʔaːaw,0.785
أدو,ʔaːdw,كادَ,kaːda,0.57
أذن,ʔaːðn,آمَنَ,ʔaːmana,0.625
أذن,ʔaːðn,إِنّ,ʔiːinn,0.575
أذن,ʔaːðn,أ,ʔaː,0.57
أذن,ʔaːðn,أَم,ʔaːam,0.57
أذن,ʔaːðn,إِذا,ʔiːiðaː,0.525
أذن,ʔaːðn,أَو,ʔaːaw,0.57
أذن,ʔaːðn,أُذُن,ʔaːuðun,0.8
أذن,ʔaːðn,إِن,ʔiːin,0.645
أذن,ʔaːðn,أَنّ,ʔaːann,0.692
أذي,ʔaːðj,أ,ʔaː,0.57
أذي,ʔaːðj,أَم,ʔaːam,0.57
أذي,ʔaːðj,أَلِيم,ʔaːalijm,0.53
أذي,ʔaːðj,إِذا,ʔiːiðaː,0.525
أذي,ʔaːðj,أَو,ʔaːaw,0.57
أذي,ʔaːðj,أُذُن,ʔaːuðun,0.625
أذي,ʔaːðj,أَيّ,ʔaːajj,0.692
أراد,ʔaːraːd,آمَنَ,ʔaːmana,0.52
أراد,ʔaːraːd,أَقامَ,ʔaːaqaːma,0.569
أراد,ʔaːraːd,أَم,ʔaːam,0.52
أراد,ʔaːraːd,أَرْض,ʔaːardˤ,0.58
أراد,ʔaːraːd,أَلا,ʔaːalaː,0.58
أراد,ʔaːraːd,أَو,ʔaːaw,0.52
أراد,ʔaːraːd,أَيّ,ʔaːajj,0.52
أراد,ʔaːraːd,أَنداد,ʔaːandaːd,0.667
أراد,ʔaːraːd,أَتَى,ʔaːataaː,0.53
أراد,ʔaːraːd,أَعَدَّ,ʔaːaʕadda,0.569
أراد,ʔaːraːd,أَنّ,ʔaːann,0.52
أردب,ʔaːrdb,أَرْض,ʔaːardˤ,0.74
أردب,ʔaːrdb,أَخْرَجَ,ʔaːaxrad͡ʒa,0.518
أرر,ʔaːrr,آخِر,ʔaːxir,0.692
أرر,ʔaːrr,أ,ʔaː,0.57
أرر,ʔaːrr,أَم,ʔaːam,0.57
أرر,ʔaːrr,أَرْض,ʔaːardˤ,0.58
أرر,ʔaːrr,نار,naːr,0.57
أرر,ʔaːrr,أَو,ʔaːaw,0.57
أري,ʔaːrj,أ,ʔaː,0.57
أري,ʔaːrj,أَم,ʔaːam,0.57
أري,ʔaːrj,أَلِيم,ʔaːalijm,0.53
أري,ʔaːrj,أَرْض,ʔaːardˤ,0.58
أري,ʔaːrj,نار,naːr,0.57
أري,ʔaːrj,أَو,ʔaːaw,0.57
أري,ʔaːrj,أَيّ,ʔaːajj,0.692
أزي,ʔaːzj,أ,ʔaː,0.57
أزي,ʔaːzj,أَم,ʔaːam,0.57
أزي,ʔaːzj,أَلِيم,ʔaːalijm,0.53
أزي,ʔaːzj,أَو,ʔaːaw,0.57
أزي,ʔaːzj,أَيّ,ʔaːajj,0.692
أس,ʔaːs,أ,ʔaː,0.725
أس,ʔaːs,أَم,ʔaːam,0.62
أس,ʔaːs,ناس,naːs,0.725
أس,ʔaːs,أَو,ʔaːaw,0.62
أسو,ʔaːsw,اسْم,aːsm,0.57
أسو,ʔaːsw,أ,ʔaː,0.57
أسو,ʔaːsw,أَم,ʔaːam,0.57
أسو,ʔaːsw,ناس,naːs,0.57
أسو,ʔaːsw,أَو,ʔaːaw,0.785
أسي,ʔaːsj,اسْم,aːsm,0.57
أسي,ʔaːsj,أ,ʔaː,0.57
أسي,ʔaːsj,أَم,ʔaːam,0.57
أسي,ʔaːsj,ناس,naːs,0.57
أسي,ʔaːsj,أَلِيم,ʔaːalijm,0.53
أسي,ʔaːsj,أَو,ʔaːaw,0.57
أسي,ʔaːsj,أَيّ,ʔaːajj,0.692
أش,ʔaːʃ,أ,ʔaː,0.725
أش,ʔaːʃ,أَم,ʔaːam,0.62
أش,ʔaːʃ,أَو,ʔaːaw,0.62
أشأ,ʔaːʃʔaː,إِيّا,ʔiːijjaː,0.53
أشأ,ʔaːʃʔaː,أَقامَ,ʔaːaqaːma,0.509
أشأ,ʔaːʃʔaː,إِلَى,ʔiːilaaː,0.53
أشأ,ʔaːʃʔaː,أَم,ʔaːam,0.52
أشأ,ʔaːʃʔaː,إِلّا,ʔiːillaː,0.53
أشأ,ʔaːʃʔaː,إِذا,ʔiːiðaː,0.58
أشأ,ʔaːʃʔaː,أَلا,ʔaːalaː,0.68
أشأ,ʔaːʃʔaː,أَعْمَى,ʔaːaʕmaaː,0.569
أشأ,ʔaːʃʔaː,أَو,ʔaːaw,0.52
أشأ,ʔaːʃʔaː,شاءَ,ʃaːʔa,0.52
أشأ,ʔaːʃʔaː,أَنداد,ʔaːandaːd,0.539
أشأ,ʔaːʃʔaː,أَتَى,ʔaːataaː,0.617
أصي,ʔaːsˤj,أَبْصَرَ,ʔaːabsˤara,0.55
أصي,ʔaːsˤj,أَصَمّ,ʔaːasˤamm,0.589
أصي,ʔaːsˤj,أَيّ,ʔaːajj,0.647
أضو,ʔaːdˤw,أَرْض,ʔaːardˤ,0.58
أضو,ʔaːdˤw,أَضاءَ,ʔaːadˤaːʔa,0.55
أضو,ʔaːdˤw,أَو,ʔaːaw,0.647
أط,ʔaːtˤ,أ,ʔaː,0.57
أط,ʔaːtˤ,أَم,ʔaːam,0.57
أط,ʔaːtˤ,أَرْض,ʔaːardˤ,0.58
أط,ʔaːtˤ,أَو,ʔaːaw,0.57
أط,ʔaːtˤ,أَنتُمْ,ʔaːantum,0.53
أط,ʔaːtˤ,أَتَى,ʔaːataaː,0.575
أفف,ʔaːff,أ,ʔaː,0.57
أفف,ʔaːff,أَم,ʔaːam,0.57
أفف,ʔaːff,أَو,ʔaːaw,0.57
ألا,ʔaːlaː,عالَم,ʕaːlam,0.617
ألا,ʔaːlaː,إِيّا,ʔiːijjaː,0.53
ألا,ʔaːlaː,آمَنَ,ʔaːmana,0.55
ألا,ʔaːlaː,أَقامَ,ʔaːaqaːma,0.569
ألا,ʔaːlaː,إِلَى,ʔiːilaaː,0.738
ألا,ʔaːlaː,أَم,ʔaːam,0.617
ألا,ʔaːlaː,قالَ,qaːla,0.617
ألا,ʔaːlaː,إِلّا,ʔiːillaː,0.677
ألا,ʔaːlaː,أَلِيم,ʔaːalijm,0.53
ألا,ʔaːlaː,إِذا,ʔiːiðaː,0.625
ألا,ʔaːlaː,أَلا,ʔaːalaː,0.9
ألا,ʔaːlaː,خَلا,xalaː,0.617
ألا,ʔaːlaː,أَعْمَى,ʔaːaʕmaaː,0.569
ألا,ʔaːlaː,أَو,ʔaːaw,0.617
ألا,ʔaːlaː,أَنداد,ʔaːandaːd,0.539
ألا,ʔaːlaː,أَتَى,ʔaːataaː,0.662
ألاّ,ʔaːlaːaː,إِيّا,ʔiːijjaː,0.53
ألاّ,ʔaːlaːaː,عَلَى,ʕalaaː,0.557
ألاّ,ʔaːlaːaː,آمَنَ,ʔaːmana,0.557
ألاّ,ʔaːlaːaː,أَقامَ,ʔaːaqaːma,0.569
ألاّ,ʔaːlaːaː,إِلَى,ʔiːilaaː,0.677
ألاّ,ʔaːlaːaː,إِلّا,ʔiːillaː,0.59
ألاّ,ʔaːlaːaː,إِذا,ʔiːiðaː,0.53
ألاّ,ʔaːlaːaː,أَلا,ʔaːalaː,0.765
ألاّ,ʔaːlaːaː,أَعْمَى,ʔaːaʕmaaː,0.569
ألاّ,ʔaːlaːaː,أَنداد,ʔaːandaːd,0.539
ألاّ,ʔaːlaːaː,أَتَى,ʔaːataaː,0.617
ألل,ʔaːll,ال,aːl,0.57
ألل,ʔaːll,ضالّ,dˤaːll,0.647
ألل,ʔaːll,أ,ʔaː,0.57
ألل,ʔaːll,أَم,ʔaːam,0.57
ألل,ʔaːll,قالَ,qaːla,0.57
ألل,ʔaːll,إِلّا,ʔiːillaː,0.59
ألل,ʔaːll,أَلِيم,ʔaːalijm,0.53
ألل,ʔaːll,أَلا,ʔaːalaː,0.625
ألل,ʔaːll,أَو,ʔaːaw,0.57
أم,ʔaːm,آمَنَ,ʔaːmana,0.625
أم,ʔaːm,أ,ʔaː,0.725
أم,ʔaːm,أَم,ʔaːam,0.86
أم,ʔaːm,أَلِيم,ʔaːalijm,0.53
أم,ʔaːm,أَبْكَم,ʔaːabkam,0.53
أم,ʔaːm,أَو,ʔaːaw,0.62
أم,ʔaːm,قامَ,qaːma,0.62
أم,ʔaːm,أَنتُمْ,ʔaːantum,0.53
أما,ʔaːmaː,إِيّا,ʔiːijjaː,0.53
أما,ʔaːmaː,آمَنَ,ʔaːmana,0.725
أما,ʔaːmaː,أَقامَ,ʔaːaqaːma,0.569
أما,ʔaːmaː,إِلَى,ʔiːilaaː,0.575
أما,ʔaːmaː,أَم,ʔaːam,0.692
أما,ʔaːmaː,إِلّا,ʔiːillaː,0.53
أما,ʔaːmaː,إِذا,ʔiːiðaː,0.625
أما,ʔaːmaː,أَلا,ʔaːalaː,0.725
أما,ʔaːmaː,لَمّا,lammaː,0.617
أما,ʔaːmaː,أَعْمَى,ʔaːaʕmaaː,0.707
أما,ʔaːmaː,أَو,ʔaːaw,0.617
أما,ʔaːmaː,قامَ,qaːma,0.617
أما,ʔaːmaː,أَنداد,ʔaːandaːd,0.539
أما,ʔaːmaː,أَتَى,ʔaːataaː,0.662
أمم,ʔaːmm,اسْم,aːsm,0.57
أمم,ʔaːmm,آمَنَ,ʔaːmana,0.625
أمم,ʔaːmm,أ,ʔaː,0.57
أمم,ʔaːmm,أَم,ʔaːam,0.785
أمم,ʔaːmm,أَلِيم,ʔaːalijm,0.53
أمم,ʔaːmm,أَصَمّ,ʔaːasˤamm,0.589
أمم,ʔaːmm,أَبْكَم,ʔaːabkam,0.53
أمم,ʔaːmm,أَو,ʔaːaw,0.57
أمم,ʔaːmm,قامَ,qaːma,0.57
أمم,ʔaːmm,أَنتُمْ,ʔaːantum,0.53
أمه,ʔaːmh,آمَنَ,ʔaːmana,0.625
أمه,ʔaːmh,أ,ʔaː,0.57
أمه,ʔaːmh,أَم,ʔaːam,0.645
أمه,ʔaːmh,أَو,ʔaːaw,0.57
أمه,ʔaːmh,قامَ,qaːma,0.57
أن,ʔaːn,آمَنَ,ʔaːmana,0.625
أن,ʔaːn,إِنّ,ʔiːinn,0.575
أن,ʔaːn,أ,ʔaː,0.725
أن,ʔaːn,أَم,ʔaːam,0.62
أن,ʔaːn,كانَ,kaːna,0.62
أن,ʔaːn,أَو,ʔaːaw,0.62
أن,ʔaːn,أُذُن,ʔaːuðun,0.625
أن,ʔaːn,أَنتُمْ,ʔaːantum,0.53
أن,ʔaːn,إِن,ʔiːin,0.72
أن,ʔaːn,أَنّ,ʔaːann,0.692
أنا,ʔaːnaː,إِيّا,ʔiːijjaː,0.53
أنا,ʔaːnaː,أَنْعَمَ,ʔaːanʕama,0.569
أنا,ʔaːnaː,آمَنَ,ʔaːmana,0.55
أنا,ʔaːnaː,أَقامَ,ʔaːaqaːma,0.569
أنا,ʔaːnaː,أَنفَقَ,ʔaːanfaqa,0.569
أنا,ʔaːnaː,أَنزَلَ,ʔaːanzala,0.569
أنا,ʔaːnaː,إِلَى,ʔiːilaaː,0.575
أنا,ʔaːnaː,أَنذَرَ,ʔaːanðara,0.569
أنا,ʔaːnaː,أَم,ʔaːam,0.617
أنا,ʔaːnaː,إِلّا,ʔiːillaː,0.53
أنا,ʔaːnaː,كانَ,kaːna,0.617
أنا,ʔaːnaː,إِذا,ʔiːiðaː,0.625
أنا,ʔaːnaː,أَلا,ʔaːalaː,0.725
أنا,ʔaːnaː,أَعْمَى,ʔaːaʕmaaː,0.569
أنا,ʔaːnaː,أَو,ʔaːaw,0.617
أنا,ʔaːnaː,أَنداد,ʔaːandaːd,0.667
أنا,ʔaːnaː,أَنتُمْ,ʔaːantum,0.53
أنا,ʔaːnaː,أَتَى,ʔaːataaː,0.662
أنا,ʔaːnaː,أَنّ,ʔaːann,0.575
أو,ʔaːw,أ,ʔaː,0.725
أو,ʔaːw,أَم,ʔaːam,0.62
أو,ʔaːw,أَو,ʔaːaw,0.86
أوب,ʔaːwb,أ,ʔaː,0.57
أوب,ʔaːwb,أَم,ʔaːam,0.57
أوب,ʔaːwb,أَو,ʔaːaw,0.645
أود,ʔaːwd,أ,ʔaː,0.57
أود,ʔaːwd,أَم,ʔaːam,0.57
أود,ʔaːwd,أَرْض,ʔaːardˤ,0.58
أود,ʔaːwd,أَو,ʔaːaw,0.645
أور,ʔaːwr,آخِر,ʔaːxir,0.692
أور,ʔaːwr,أ,ʔaː,0.57
أور,ʔaːwr,أَم,ʔaːam,0.57
أور,ʔaːwr,أَرْض,ʔaːardˤ,0.52
أور,ʔaːwr,نار,naːr,0.57
أور,ʔaːwr,أَو,ʔaːaw,0.645
أوز,ʔaːwz,أ,ʔaː,0.57
أوز,ʔaːwz,أَم,ʔaːam,0.57
أوز,ʔaːwz,أَو,ʔaːaw,0.645
أوس,ʔaːws,أ,ʔaː,0.57
أوس,ʔaːws,أَم,ʔaːam,0.57
أوس,ʔaːws,ناس,naːs,0.57
أوس,ʔaːws,أَو,ʔaːaw,0.645
أول,ʔaːwl,ال,aːl,0.57
أول,ʔaːwl,أ,ʔaː,0.57
أول,ʔaːwl,أَم,ʔaːam,0.57
أول,ʔaːwl,أَلا,ʔaːalaː,0.55
أول,ʔaːwl,حَوْل,ħawl,0.57
أول,ʔaːwl,أَو,ʔaːaw,0.645
أولاء,ʔaːwlaːʔ,أَقامَ,ʔaːaqaːma,0.539
أولاء,ʔaːwlaːʔ,إِلَى,ʔiːilaaː,0.55
أولاء,ʔaːwlaːʔ,سَواء,sawaːʔ,0.588
أولاء,ʔaːwlaːʔ,إِلّا,ʔiːillaː,0.55
أولاء,ʔaːwlaːʔ,أَلا,ʔaːalaː,0.725
أولاء,ʔaːwlaːʔ,أَضاءَ,ʔaːadˤaːʔa,0.62
أولاء,ʔaːwlaːʔ,أَنداد,ʔaːandaːd,0.539
أولى,ʔaːwlaː,عالَم,ʕaːlam,0.52
أولى,ʔaːwlaː,إِيّا,ʔiːijjaː,0.53
أولى,ʔaːwlaː,أَقامَ,ʔaːaqaːma,0.509
أولى,ʔaːwlaː,إِلَى,ʔiːilaaː,0.677
أولى,ʔaːwlaː,أَم,ʔaːam,0.52
أولى,ʔaːwlaː,قالَ,qaːla,0.52
أولى,ʔaːwlaː,إِلّا,ʔiːillaː,0.677
أولى,ʔaːwlaː,إِذا,ʔiːiðaː,0.58
أولى,ʔaːwlaː,أَلا,ʔaːalaː,0.84
أولى,ʔaːwlaː,خَلا,xalaː,0.52
أولى,ʔaːwlaː,أَعْمَى,ʔaːaʕmaaː,0.569
أولى,ʔaːwlaː,أَو,ʔaːaw,0.58
أولى,ʔaːwlaː,أَنداد,ʔaːandaːd,0.539
أولى,ʔaːwlaː,أَتَى,ʔaːataaː,0.617
أون,ʔaːwn,آمَنَ,ʔaːmana,0.625
أون,ʔaːwn,إِنّ,ʔiːinn,0.575
أون,ʔaːwn,أ,ʔaː,0.57
أون,ʔaːwn,أَم,ʔaːam,0.57
أون,ʔaːwn,أَو,ʔaːaw,0.645
أون,ʔaːwn,أُذُن,ʔaːuðun,0.625
أون,ʔaːwn,إِن,ʔiːin,0.645
أون,ʔaːwn,أَنّ,ʔaːann,0.692
أوه,ʔaːwh,أ,ʔaː,0.57
أوه,ʔaːwh,أَم,ʔaːam,0.57
أوه,ʔaːwh,غِشاوَة,ɣiʃaːwah,0.53
أوه,ʔaːwh,أَو,ʔaːaw,0.645
أوى,ʔaːwaː,إِيّا,ʔiːijjaː,0.53
أوى,ʔaːwaː,آمَنَ,ʔaːmana,0.55
أوى,ʔaːwaː,أَقامَ,ʔaːaqaːma,0.569
أوى,ʔaːwaː,إِلَى,ʔiːilaaː,0.575
أوى,ʔaːwaː,أَم,ʔaːam,0.617
أوى,ʔaːwaː,إِلّا,ʔiːillaː,0.53
أوى,ʔaːwaː,إِذا,ʔiːiðaː,0.625
أوى,ʔaːwaː,أَلا,ʔaːalaː,0.725
أوى,ʔaːwaː,أَعْمَى,ʔaːaʕmaaː,0.569
أوى,ʔaːwaː,أَو,ʔaːaw,0.692
أوى,ʔaːwaː,أَنداد,ʔaːandaːd,0.539
أوى,ʔaːwaː,أَتَى,ʔaːataaː,0.662
أي,ʔaːj,أ,ʔaː,0.725
أي,ʔaːj,أَم,ʔaːam,0.62
أي,ʔaːj,أَلِيم,ʔaːalijm,0.53
أي,ʔaːj,أَو,ʔaːaw,0.62
أي,ʔaːj,أَيّ,ʔaːajj,0.692
أيأيأ,ʔaːjʔaːjʔaː,إِيّا,ʔiːijjaː,0.506
أيأيأ,ʔaːjʔaːjʔaː,أَضاءَ,ʔaːadˤaːʔa,0.532
أيا,ʔaːjaː,إِيّا,ʔiːijjaː,0.677
أيا,ʔaːjaː,آمَنَ,ʔaːmana,0.55
أيا,ʔaːjaː,أَقامَ,ʔaːaqaːma,0.569
أيا,ʔaːjaː,إِلَى,ʔiːilaaː,0.575
أيا,ʔaːjaː,أَم,ʔaːam,0.617
أيا,ʔaːjaː,إِلّا,ʔiːillaː,0.53
أيا,ʔaːjaː,إِذا,ʔiːiðaː,0.625
أيا,ʔaːjaː,أَلا,ʔaːalaː,0.725
أيا,ʔaːjaː,أَعْمَى,ʔaːaʕmaaː,0.569
أيا,ʔaːjaː,أَو,ʔaːaw,0.617
أيا,ʔaːjaː,أَيّ,ʔaːajj,0.575
أيا,ʔaːjaː,أَنداد,ʔaːandaːd,0.539
أيا,ʔaːjaː,أَتَى,ʔaːataaː,0.662
أيس,ʔaːjs,أ,ʔaː,0.57
أيس,ʔaːjs,أَم,ʔaːam,0.57
أيس,ʔaːjs,ناس,naːs,0.57
أيس,ʔaːjs,أَلِيم,ʔaːalijm,0.53
أيس,ʔaːjs,أَو,ʔaːaw,0.57
أيس,ʔaːjs,أَيّ,ʔaːajj,0.692
أيض,ʔaːjdˤ,أَرْض,ʔaːardˤ,0.74
أيض,ʔaːjdˤ,أَيّ,ʔaːajj,0.53
أيل,ʔaːjl,ال,aːl,0.57
أيل,ʔaːjl,أ,ʔaː,0.57
أيل,ʔaːjl,أَم,ʔaːam,0.57
أيل,ʔaːjl,أَلِيم,ʔaːalijm,0.53
أيل,ʔaːjl,أَلا,ʔaːalaː,0.55
أيل,ʔaːjl,أَو,ʔaːaw,0.57
أيل,ʔaːjl,أَيّ,ʔaːajj,0.692
أين,ʔaːjn,آمَنَ,ʔaːmana,0.625
أين,ʔaːjn,إِنّ,ʔiːinn,0.575
أين,ʔaːjn,أ,ʔaː,0.57
أين,ʔaːjn,أَم,ʔaːam,0.57
أين,ʔaːjn,أَلِيم,ʔaːalijm,0.53
أين,ʔaːjn,أَو,ʔaːaw,0.57
أين,ʔaːjn,أُذُن,ʔaːuðun,0.625
أين,ʔaːjn,أَيّ,ʔaːajj,0.692
أين,ʔaːjn,إِن,ʔiːin,0.645
أين,ʔaːjn,أَنّ,ʔaːann,0.692
أيه,ʔaːjh,أ,ʔaː,0.57
أيه,ʔaːjh,أَم,ʔaːam,0.57
أيه,ʔaːjh,أَلِيم,ʔaːalijm,0.53
أيه,ʔaːjh,أَو,ʔaːaw,0.57
أيه,ʔaːjh,أَيّ,ʔaːajj,0.692
إلاّ,ʔiːlaːaː,إِيّا,ʔiːijjaː,0.617
إلاّ,ʔiːlaːaː,إِلَى,ʔiːilaaː,0.765
إلاّ,ʔiːlaːaː,إِلّا,ʔiːillaː,0.677
إلاّ,ʔiːlaːaː,إِذا,ʔiːiðaː,0.617
إلاّ,ʔiːlaːaː,أَلا,ʔaːalaː,0.677
إلاّ,ʔiːlaːaː,أَتَى,ʔaːataaː,0.53
إلى,ʔiːlaː,إِيّا,ʔiːijjaː,0.617
إلى,ʔiːlaː,إِلَى,ʔiːilaaː,0.825
إلى,ʔiːlaː,إِلّا,ʔiːillaː,0.765
إلى,ʔiːlaː,إِذا,ʔiːiðaː,0.725
إلى,ʔiːlaː,أَلا,ʔaːalaː,0.8
إلى,ʔiːlaː,أَتَى,ʔaːataaː,0.575
إير,ʔiːjr,إِيّا,ʔiːijjaː,0.53
إير,ʔiːjr,آخِر,ʔaːxir,0.575
إير,ʔiːjr,أَيّ,ʔaːajj,0.575
إير,ʔiːjr,إِن,ʔiːin,0.57
الألاء,aːlʔaːlaːʔ,أَلا,ʔaːalaː,0.521
القلحم,aːlqlħm,اللَّه,aːlllah,0.55
ب,b,ب,b,1.0
بأو,bʔaːw,أ,ʔaː,0.57
بأو,bʔaːw,أَو,ʔaːaw,0.645
بابأ,baːbʔaː,أَلا,ʔaːalaː,0.52
بابأ,baːbʔaː,شاءَ,ʃaːʔa,0.52
ببب,bbb,رَبّ,rabb,0.55
بحت,bħt,رَبِحَت,rabiħat,0.525
بخق,bxq,بَرْق,barq,0.55
برزق,brzq,بَرْق,barq,0.575
برزق,brzq,رِزْق,rizq,0.575
برقش,brqʃ,بَرْق,barq,0.575
برقع,brqʕ,بَرْق,barq,0.575
برم,brm,بَرْق,barq,0.55
بسم,bsm,اسْم,aːsm,0.55
بطرق,btˤrq,بَرْق,barq,0.6
بنصر,bnsˤr,بَصَر,basˤar,0.707
بهصل,bhsˤl,بَصَر,basˤar,0.53
بوأ,bwʔaː,أ,ʔaː,0.57
تأتأ,tʔaːtʔaː,أَلا,ʔaːalaː,0.588
تأتأ,tʔaːtʔaː,أَتَى,ʔaːataaː,0.637
تاء,taːʔ,شاءَ,ʃaːʔa,0.62
تاء,taːʔ,شَىْء,ʃaaːʔ,0.62
تاء,taːʔ,ماء,maːʔ,0.725
تبل,tbl,قَبْل,qabl,0.55
تجر,td͡ʒr,تِجارَة,tid͡ʒaːrah,0.55
تلم,tlm,تُمْ,tum,0.667
تم,tm,تُمْ,tum,0.767
تنم,tnm,تُمْ,tum,0.667
توم,twm,يَوْم,jawm,0.55
توم,twm,تُمْ,tum,0.667
تين,tjn,دِين,dijn,0.55
ثأثأ,θʔaːθʔaː,أَلا,ʔaːalaː,0.588
ثأو,θʔaːw,أ,ʔaː,0.57
ثأو,θʔaːw,أَو,ʔaːaw,0.645
